Species1;Species 2;Chmax1;Chmax2;Rel;Size_rat;Species_names_lat
1635;1625;1.3;1.3;1;1.00;Cirsium palustre+Cirsium arvense
112;116;0.45;0.4;1;1.13;Agrostis canina+Agrostis capillaris
2437;2426;0.55;0.256;1;2.15;Eriophorum vaginatum+Eriophorum angustifolium
4692;4673;0.575;0.3;1;1.92;Potentilla reptans+Potentilla erecta
4823;4880;0.468;0.45;1;1.04;Ranunculus acris+Ranunculus repens
5148;5180;0.59;1.35;1;2.29;Rumex acetosa+Rumex crispus
43;47;0.8;1.4;1;1.75;Achillea millefolium ssp. Millefolium+Achillea ptarmica x salicifolia
4719;4721;0.225;0.15;1;1.50;Primula veris+Primula vulgaris
6418;6422;0.325;0.275;1;1.18;Trifolium campestre+Trifolium dubium
1635;5180;1.3;1.35;0;1.04;Cirsium palustre+Rumex crispus
112;2437;0.45;0.55;0;1.22;Agrostis canina+Eriophorum vaginatum
4692;4823;0.575;0.468;0;1.23;Potentilla reptans+Ranunculus acris
47;1625;1.4;1.3;0;1.08;Achillea ptarmica x salicifolia+Cirsium arvense
4721;6422;0.15;0.275;0;1.83;Primula vulgaris+Trifolium dubium
116;4880;0.4;0.45;0;1.13;Agrostis capillaris+Ranunculus repens
2426;4673;0.256;0.3;0;1.17;Eriophorum angustifolium+Potentilla erecta
5148;43;0.59;0.8;0;1.36;Rumex acetosa+Achillea millefolium ssp. Millefolium
4719;6418;0.225;0.325;0;1.44;Primula veris+trifolium campestre
