ArtID;NavnDansk;LatArt
1;ædelgranslægten;Abies
2;almindelig ædelgran;Abies alba
3;balsam-ædelgran;Abies balsamea
4;;Abies cephalonica
5;langnålet ædelgran;Abies concolor
6;kæmpegran;Abies grandis
7;;Abies homolepis
8;;Abies koreana
9;klippe-ædelgran;Abies lasiocarpa
10;californisk ædelgran;Abies lowiana
11;nordmannsgran;Abies nordmanniana
12;;Abies pinsapo
13;nobilis;Abies procera
14;sibirisk ædelgran;Abies sibirica
15;vidunder-ædelgran;Abies veitchii
16;kinajuteslægten;Abutilon
17;kinajute;Abutilon theophrasti
18;tornnødslægten;Acaena
19;biddy-tornnød;Acaena novae-zelandiae
20;akantusfamilien;Acanthaceae
21;lønslægten;Acer
22;navr;Acer campestre
23;;Acer campestre var. hebecarpum
24;;Acer campestre var. leiocarpum 
25;vin-løn;Acer circinatum
26;heldreichs løn;Acer heldreichii
27;;Acer lobelii
28;askebladet løn;Acer negundo
29;spids-løn;Acer platanoides
30;ahorn;Acer pseudoplatanus
31;ild-løn;Acer tataricum ssp. ginnala
32;russisk løn;Acer tataricum ssp. tataricum
33;;Acer trautvetteri
34;lønfamilien;Aceraceae
35;røllikeslægten;Achillea
36;balsam-røllike;Achillea ageratum
37;;Achillea asplenifolia
38;bakke-røllike;Achillea collina 
39;kam-røllike;Achillea crithmifolia
40;;Achillea distans ssp. tanacetifolia
41;pragt-røllike;Achillea filipendulina
42;;Achillea millefolium ssp. lanulosa
43;Almindelig røllike, hovedunderart;Achillea millefolium ssp. millefolium
44;ædel røllike;Achillea nobilis
45;ungarsk røllike;Achillea pannonica
46;nyse-røllike;Achillea ptarmica
47;;Achillea ptarmica x salicifolia
48;stor røllike;Achillea salicifolia
49;;Achillea setacea
50;sølvaksgræsslægten;Achnatherum
51;sølvaksgræs;Achnatherum calamagrostis
52;voldtimianslægten;Acinos
53;stormhatslægten;Aconitum
54;;Aconitum napellus
55;ægte stormhat;Aconitum napellus ssp. lusitanicum
56;;Aconitum nasutum
57;;Aconitum orientale
58;;Aconitum reclinatum
59;nordisk stormhat;Aconitum septentrionale
60;;Aconitum variegatum
61;;Aconitum vulparia
62;have-stormhat;Aconitum x stoerkianum
63;pileurtslægten v;Aconogonon
64;alpe-pileurt;Aconogonon alpinum
65;udpærret pileurt;Aconogonon divaricatum 
66;grå pileurt;Aconogonon weyrichii
67;blød pileurt;Aconogonon x fennicum
68;kalmusfamilien;Acoraceae
69;kalmusslægten;Acorus
70;kalmus;Acorus calamus
71;;Acroptilon
72;;Acroptilon repens
73;druemunkeslægten;Actaea
74;rød druemunke;Actaea erythrocarpa
75;;Actaea erythrocarpa x spicata
76;druemunke;Actaea spicata
77;adonisslægten;Adonis
78;høst-adonis;Adonis annua
79;vår-adonis;Adonis vernalis
80;desmerurtslægten;Adoxa
81;desmerurt;Adoxa moschatellina
82;desmerurtfamilien;Adoxaceae
83;gedeøjeslægten;Aegilops
84;smalakset gedeøje;Aegilops cylindrica
85;gold gedeøje;Aegilops neglecta
86;knæbøjet gedeøje;Aegilops geniculata
87;trestakket gedeøje;Aegilops triuncialis
88;skvalderkålslægten;Aegopodium
89;skvalderkål;Aegopodium podagraria
90;hestekastanieslægten;Aesculus
91;hestekastanie;Aesculus hippocastanum
92;halvsvøbslægten;Aethusa
93;hundepersille;Aethusa cynapium
94;liden hundepersille;Aethusa cynapium var. agrestis
95;smal hundepersille;Aethusa cynapium var. cynapium
96;have-hundepersille;Aethusa cynapium var. domestica
97;stor hundepersille;Aethusa cynapium var. gigantea
98;agavefamilien;Agavaceae
99;ageratinaslægten;Ageratina
100;hvid ageratina;Ageratina altissima
101;blåkvastslægten;Ageratum
102;almindelig blåkvast;Ageratum houstonianum
103;agermåneslægten;Agrimonia
104;almindelig agermåne;Agrimonia eupatoria
105;russisk agermåne;Agrimonia pilosa
106;vellugtende agermåne;Agrimonia procera
107;kvikslægten iii;Agropyron
108;børstekvik;Agropyron cristatum
109;klinteslægten;Agrostemma
110;klinte;Agrostemma githago
111;hveneslægten;Agrostis
112;hunde-hvene;Agrostis canina
113;;Agrostis canina x capillaris
114;;Agrostis canina x gigantea
115;;Agrostis canina x stolonifera
116;almindelig hvene;Agrostis capillaris
117;;Agrostis capillaris x gigantea
118;;Agrostis capillaris x stolonifera
119;;Agrostis capillaris x vinealis
120;svensk hvene;Agrostis clavata
